dataset_index,cid,gt_atom_count,pred_atom_count,atom_xy_mae,bond_map_mae,type_map_mae,atom_center_score_r3,typed_center_score_r3,type_top1_local_acc_r3,atom_type_macro_f1_2d,ch_collapse_rate_2d,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
24,9949020,40,64,0.10213728249073029,0.06208590790629387,0.014181764796376228,0.3751289933919907,0.150330113308938,0.275,0.08913308913308914,0.0,0.3098533471359558,0.4261825279571601,24.0,0.625,1.0,0.375,0.12698412698412698,0.0,0.23478260869565218,0.8571428571428571,0.175,0.2638207384403037,0.3274747133255005,0.00155075010843575,
25,9949154,37,64,0.08983086049556732,0.06165497750043869,0.013841266743838787,0.7511508271500871,0.40997979178696914,0.40540540540540543,0.19264069264069264,0.0,0.40420904011831377,0.6529879425896157,27.0,0.578125,1.0,0.5675675675675675,0.22264847968172777,0.13333333333333333,0.30534351145038163,0.8333333333333334,0.24324324324324326,0.32259784161064575,0.1258062720298767,0.049774736166000366,
26,9949241,39,1,0.0805027186870575,0.044521644711494446,0.010258068330585957,0.0008377662071814904,1.014698767894865e-05,0.358974358974359,0.12299741602067184,0.0,0.004916099688181514,0.17535456508780137,38.0,0.02564102564102566,0.021398916840553284,0.0,0.0,0.0,0.0,0.0,0.0,0.006410256410256415,0.9992325305938721,0.1413974165916443,
27,99494771,45,64,0.09866280853748322,0.06402536481618881,0.01582108438014984,0.5350169930193159,0.28725745557765,0.35555555555555557,0.1559460147695442,0.0,0.3535938993636146,0.4842586651322094,19.0,0.703125,1.0,0.4444444444444444,0.13950368879946345,0.0,0.2955665024630542,1.0,0.15555555555555556,0.30713026362196166,0.2703838348388672,0.1333582103252411,
28,99494789,40,64,0.09588493406772614,0.05645492672920227,0.014501145109534264,0.4100696288049221,0.11219486507830112,0.2,0.10330334987593053,0.0,0.37456776556776555,0.3946586216347558,24.0,0.625,1.0,0.425,0.1819047619047619,0.23076923076923078,0.26785714285714285,0.8,0.125,0.33253479853479856,0.3829059302806854,0.10884974896907806,
29,99494817,46,64,0.11851005256175995,0.06965547055006027,0.01679837331175804,0.4226099362839823,0.15227200605850894,0.2826086956521739,0.10825982357658381,0.0,0.3542450576960853,0.45432616548405125,18.0,0.71875,1.0,0.45652173913043476,0.13203463203463203,0.0,0.2794759825327511,0.8333333333333334,0.17391304347826086,0.30391102029338923,0.30911779403686523,0.094153493642807,
30,9949583,38,64,0.09082834422588348,0.06317541003227234,0.013804671354591846,0.6521630640092649,0.3607232879383984,0.4473684210526316,0.24052287581699347,0.0,0.41661075683133664,0.5622592699904191,26.0,0.59375,1.0,0.5263157894736842,0.222346547314578,0.25,0.32,0.6666666666666666,0.21052631578947367,0.3549068094629156,0.2045905739068985,0.09736262261867523,
31,9949822,38,1,0.08310660719871521,0.04635518044233322,0.010429483838379383,0.0008061881128110384,7.184461750105249e-06,0.2631578947368421,0.10952380952380954,0.0,0.004926540021245413,0.15616966139427144,37.0,0.02631578947368418,0.019583432003855705,0.0,0.0,0.0,0.0,0.0,0.0,0.006578947368421045,0.8691316843032837,0.23720544576644897,
32,99498480,52,1,0.10935932397842407,0.06031915917992592,0.01347368024289608,0.0012740613176272465,1.7834435289807097e-05,0.23076923076923078,0.11328976034858389,0.0,0.003748189643598526,0.17556547217357618,51.0,0.019230769230769273,0.017271485179662704,0.0,0.0,0.0,0.0,0.0,0.0,0.004807692307692318,0.7749782800674438,0.13610589504241943,/root/autodl-tmp/micro/experiments/v20_dense_stage1_medium10_sup01_fulltest/samples/dense_baseline_sample_0032.png
33,99499,18,64,0.04893998056650162,0.035441070795059204,0.010645048692822456,0.9386404785845015,0.33369870651934735,0.2777777777777778,0.1388888888888889,0.0,0.3402585877587499,0.7094709216617874,46.0,0.28125,1.0,0.3888888888888889,0.10298102981029811,0.18750000000000003,0.5106382978723404,0.8181818181818182,0.6111111111111112,0.30713211021737874,0.053438711911439896,0.000722222204785794,
34,9949923,40,1,0.08519628643989563,0.0473824217915535,0.011092187836766243,0.0009616196155548095,7.850197816594573e-06,0.2,0.08627450980392158,0.0,0.0046615811437368425,0.06799261771142483,39.0,0.025000000000000022,0.018231622874736786,0.0,0.0,0.0,0.0,0.0,0.0,0.0062500000000000056,0.8957561254501343,0.6770948171615601,
35,995,24,64,0.06164456903934479,0.04410085082054138,0.0099871177226305,0.8010176109770933,0.40055225150371143,0.375,0.1623376623376623,0.0,0.33606082844096546,0.6881705276255037,40.0,0.375,1.0,0.4583333333333333,0.16517857142857142,0.0,0.4109589041095891,1.0,0.3333333333333333,0.27062133072407046,0.07964247465133667,0.00040416669799014926,
36,99500,21,64,0.06728237867355347,0.044716596603393555,0.010800068266689777,0.9523822225275493,0.42489002353066396,0.38095238095238093,0.1842948717948718,0.0,0.3327541035353535,0.6535493185574359,43.0,0.328125,1.0,0.3333333333333333,0.05555555555555556,0.2,0.5454545454545455,0.6666666666666666,0.23809523809523808,0.324051452020202,0.07663945108652115,0.17220956087112427,
37,99500817,51,64,0.12045952677726746,0.07528312504291534,0.01769424043595791,0.45865866892478047,0.17575935027677062,0.37254901960784315,0.10624910624910625,0.0,0.3676565500216386,0.40933179722560364,13.0,0.796875,1.0,0.4117647058823529,0.19084507042253518,0.08695652173913043,0.2198581560283688,0.6666666666666666,0.0784313725490196,0.33172942304226216,0.36104780435562134,0.0754956603050232,
38,99503,25,64,0.06172548979520798,0.04480081796646118,0.010572865605354309,0.8044352507591248,0.47439075621040216,0.48,0.19948849104859334,0.0,0.34281911287242167,0.6587706172561225,39.0,0.390625,1.0,0.44,0.1225974025974026,0.1,0.4235294117647059,0.7777777777777777,0.36,0.2904110246371276,0.10980625450611115,7.520001236116514e-05,
39,9950323,39,64,0.08901752531528473,0.05914429575204849,0.01432834006845951,0.6805681998913105,0.27724147057405646,0.3333333333333333,0.11618111618111618,0.0,0.3755145582917013,0.5207834542544627,25.0,0.609375,1.0,0.46153846153846156,0.1323529411764706,0.2105263157894737,0.3033707865168539,0.6666666666666666,0.15384615384615385,0.3270993766740877,0.23587383329868317,0.09508299827575684,
40,99503700,52,64,0.110931895673275,0.07253850251436234,0.017511386424303055,0.4529949862223405,0.17037665763406468,0.3076923076923077,0.09861111111111112,0.0,0.36113274709713156,0.41836956186192525,12.0,0.8125,1.0,0.40384615384615385,0.1347027027027027,0.11764705882352941,0.2185430463576159,0.8571428571428571,0.1346153846153846,0.33008501853041206,0.3255712687969208,0.1533377468585968,
