dataset_index,cid,gt_atom_count,pred_atom_count,atom_xy_mae,bond_map_mae,type_map_mae,atom_center_score_r3,typed_center_score_r3,type_top1_local_acc_r3,atom_type_macro_f1_2d,ch_collapse_rate_2d,pred_object_score,pred_object_3d_score,pred_object_count_mae,pred_object_count_score,pred_object_center_score,pred_object_type_acc,pred_object_macro_f1,pred_object_hetero_f1,pred_object_edge_f1,pred_object_edge_f1_robust,pred_object_match_coverage_robust,pred_object_graph_score,pred_object_heavy_rmsd,pred_object_z_mae,figure_path
23,9948766,40,64,0.3860577642917633,0.38832932710647583,0.45443645119667053,0.5903814852237701,0.235456682741642,0.05,0.027210884353741492,0.0,0.254341445331807,0.5623801052227875,24.0,0.625,0.5424334784038365,0.05,0.017316017316017316,0.22641509433962262,0.41772151898734183,0.923076923076923,0.275,0.3511987539766976,0.09701154381036758,0.2519412636756897,
24,9949020,40,64,0.36646947264671326,0.37538737058639526,0.45231905579566956,0.5665562897920609,0.2149383082985878,0.025,0.011428571428571429,0.0,0.2633915574750133,0.6214976246392026,24.0,0.625,0.5447793058119714,0.125,0.059523809523809514,0.06557377049180328,0.4470588235294118,0.8421052631578948,0.35,0.3377401042384167,0.10374001413583755,0.0015507502248510718,
25,9949154,37,57,0.36966028809547424,0.37864845991134644,0.4514397084712982,0.6333716962788556,0.28709316898036646,0.10810810810810811,0.06285714285714286,0.0,0.29043146181312635,0.6301853347093606,20.0,0.6491228070175439,0.6277030978286475,0.13513513513513514,0.04201680672268907,0.125,0.5037037037037038,0.8,0.16216216216216217,0.3719803593952202,0.101982980966568,0.04977472871541977,
26,9949241,39,64,0.4078446626663208,0.40895169973373413,0.4574355185031891,0.6423788254077618,0.2738763712919675,0.02564102564102564,0.03333333333333333,0.0,0.28055961950713126,0.5872752509897866,25.0,0.609375,0.5829912931658328,0.07692307692307693,0.05246913580246914,0.12903225806451613,0.5546218487394958,0.8571428571428571,0.20512820512820512,0.3827616758322206,0.0905686467885971,0.2848745286464691,
27,99494771,45,64,0.38444948196411133,0.3888704776763916,0.45353060960769653,0.57286486559444,0.24515554640028211,0.13333333333333333,0.09285714285714285,0.0,0.2983410321757797,0.5552641446826357,19.0,0.703125,0.5725653637200594,0.15555555555555556,0.08214285714285714,0.23728813559322037,0.36666666666666664,0.8750000000000001,0.24444444444444444,0.3680007818805488,0.14533831179141998,0.13335822522640228,
28,99494789,40,64,0.372524231672287,0.38018476963043213,0.4527227282524109,0.6187026552855969,0.2638792909681797,0.175,0.08974358974358974,0.0,0.2920241820829057,0.6249076946020382,24.0,0.625,0.572731361258775,0.15,0.04395604395604395,0.16,0.49673202614379086,0.8,0.4,0.37089741794153563,0.09146872907876968,0.10884974151849747,
29,99494817,46,64,0.3856145143508911,0.3870161771774292,0.4531470239162445,0.554770479383676,0.22786686569452286,0.08695652173913043,0.042328042328042326,0.0,0.3006597226656742,0.5447172287514409,18.0,0.71875,0.5889443503692746,0.10869565217391304,0.04338479577877663,0.27999999999999997,0.4277456647398844,0.888888888888889,0.17391304347826086,0.3940754418147149,0.168240487575531,0.094153493642807,
30,9949583,38,51,0.36819228529930115,0.37798088788986206,0.4516061246395111,0.6078152460487265,0.2643999978899956,0.02631578947368421,0.011904761904761904,0.0,0.28763698919272335,0.6103951826234861,13.0,0.7450980392156863,0.5805026503170237,0.13157894736842105,0.04273504273504274,0.10810810810810811,0.44594594594594594,0.8888888888888888,0.2894736842105263,0.37252422105363286,0.11029596626758575,0.09736260771751404,
31,9949822,38,64,0.4081624448299408,0.4081006646156311,0.45810192823410034,0.6502061862694589,0.2971854217742619,0.02631578947368421,0.030303030303030304,0.0,0.263389287782547,0.5886781001200209,26.0,0.59375,0.601930832490325,0.05263157894736842,0.022222222222222223,0.09999999999999999,0.5581395348837209,0.7777777777777777,0.23684210526315788,0.36823078165374673,0.0923648402094841,0.2502213418483734,
32,99498480,52,64,0.4135860204696655,0.4075464606285095,0.4595901370048523,0.5678269536449359,0.23469566238614228,0.057692307692307696,0.024999999999999998,0.0,0.27828196206536626,0.5291525761774648,12.0,0.8125,0.5050303819589317,0.057692307692307696,0.02857142857142857,0.208955223880597,0.39837398373983735,0.625,0.17307692307692307,0.3900612247993482,0.12409461289644241,0.3583213686943054,
